event,event_utc,event_la,year,event_la_date,event_desc
Autumn Equinox,2013-09-22T21:00:00Z,2013-09-22T21:00:00Z,2013,2013-09-22,Day and night are approximately equal.
Winter Solstice,2013-12-21T17:00:00Z,2013-12-21T17:00:00Z,2013,2013-12-21,The longest night of the year.
Spring Equinox,2014-03-20T17:00:00Z,2014-03-20T17:00:00Z,2014,2014-03-20,Day and night are approximately equal.
Summer Solstice,2014-06-21T11:00:00Z,2014-06-21T11:00:00Z,2014,2014-06-21,The longest day of the year.
Autumn Equinox,2014-09-23T02:00:00Z,2014-09-23T02:00:00Z,2014,2014-09-22,Day and night are approximately equal.
Winter Solstice,2014-12-21T23:00:00Z,2014-12-21T23:00:00Z,2014,2014-12-21,The longest night of the year.
Spring Equinox,2015-03-20T23:00:00Z,2015-03-20T23:00:00Z,2015,2015-03-20,Day and night are approximately equal.
Summer Solstice,2015-06-21T17:00:00Z,2015-06-21T17:00:00Z,2015,2015-06-21,The longest day of the year.
Autumn Equinox,2015-09-23T08:00:00Z,2015-09-23T08:00:00Z,2015,2015-09-23,Day and night are approximately equal.
Winter Solstice,2015-12-22T05:00:00Z,2015-12-22T05:00:00Z,2015,2015-12-21,The longest night of the year.
Spring Equinox,2016-03-20T05:00:00Z,2016-03-20T05:00:00Z,2016,2016-03-19,Day and night are approximately equal.
Summer Solstice,2016-06-20T23:00:00Z,2016-06-20T23:00:00Z,2016,2016-06-20,The longest day of the year.
Autumn Equinox,2016-09-22T14:00:00Z,2016-09-22T14:00:00Z,2016,2016-09-22,Day and night are approximately equal.
Winter Solstice,2016-12-21T11:00:00Z,2016-12-21T11:00:00Z,2016,2016-12-21,The longest night of the year.
Spring Equinox,2017-03-20T10:00:00Z,2017-03-20T10:00:00Z,2017,2017-03-20,Day and night are approximately equal.
Summer Solstice,2017-06-21T04:00:00Z,2017-06-21T04:00:00Z,2017,2017-06-20,The longest day of the year.
Autumn Equinox,2017-09-22T20:00:00Z,2017-09-22T20:00:00Z,2017,2017-09-22,Day and night are approximately equal.
Winter Solstice,2017-12-21T16:00:00Z,2017-12-21T16:00:00Z,2017,2017-12-21,The longest night of the year.
Spring Equinox,2018-03-20T16:00:00Z,2018-03-20T16:00:00Z,2018,2018-03-20,Day and night are approximately equal.
Summer Solstice,2018-06-21T10:00:00Z,2018-06-21T10:00:00Z,2018,2018-06-21,The longest day of the year.
Autumn Equinox,2018-09-23T02:00:00Z,2018-09-23T02:00:00Z,2018,2018-09-22,Day and night are approximately equal.
Winter Solstice,2018-12-21T22:00:00Z,2018-12-21T22:00:00Z,2018,2018-12-21,The longest night of the year.
Spring Equinox,2019-03-20T22:00:00Z,2019-03-20T22:00:00Z,2019,2019-03-20,Day and night are approximately equal.
Summer Solstice,2019-06-21T16:00:00Z,2019-06-21T16:00:00Z,2019,2019-06-21,The longest day of the year.
Autumn Equinox,2019-09-23T08:00:00Z,2019-09-23T08:00:00Z,2019,2019-09-23,Day and night are approximately equal.
