event,event_utc,event_la,year,event_la_date,event_desc
Spring Equinox,2059-03-20T15:00:00Z,2059-03-20T15:00:00Z,2059,2059-03-20,Day and night are approximately equal.
Summer Solstice,2059-06-21T08:00:00Z,2059-06-21T08:00:00Z,2059,2059-06-21,The longest day of the year.
Autumn Equinox,2059-09-23T00:00:00Z,2059-09-23T00:00:00Z,2059,2059-09-22,Day and night are approximately equal.
Winter Solstice,2059-12-21T21:00:00Z,2059-12-21T21:00:00Z,2059,2059-12-21,The longest night of the year.
Spring Equinox,2060-03-19T21:00:00Z,2060-03-19T21:00:00Z,2060,2060-03-19,Day and night are approximately equal.
Summer Solstice,2060-06-20T14:00:00Z,2060-06-20T14:00:00Z,2060,2060-06-20,The longest day of the year.
Autumn Equinox,2060-09-22T06:00:00Z,2060-09-22T06:00:00Z,2060,2060-09-21,Day and night are approximately equal.
Winter Solstice,2060-12-21T03:00:00Z,2060-12-21T03:00:00Z,2060,2060-12-20,The longest night of the year.
Spring Equinox,2061-03-20T02:00:00Z,2061-03-20T02:00:00Z,2061,2061-03-19,Day and night are approximately equal.
Summer Solstice,2061-06-20T20:00:00Z,2061-06-20T20:00:00Z,2061,2061-06-20,The longest day of the year.
Autumn Equinox,2061-09-22T12:00:00Z,2061-09-22T12:00:00Z,2061,2061-09-22,Day and night are approximately equal.
Winter Solstice,2061-12-21T09:00:00Z,2061-12-21T09:00:00Z,2061,2061-12-21,The longest night of the year.
Spring Equinox,2062-03-20T08:00:00Z,2062-03-20T08:00:00Z,2062,2062-03-20,Day and night are approximately equal.
Summer Solstice,2062-06-21T01:00:00Z,2062-06-21T01:00:00Z,2062,2062-06-20,The longest day of the year.
Autumn Equinox,2062-09-22T17:00:00Z,2062-09-22T17:00:00Z,2062,2062-09-22,Day and night are approximately equal.
Winter Solstice,2062-12-21T15:00:00Z,2062-12-21T15:00:00Z,2062,2062-12-21,The longest night of the year.
Spring Equinox,2063-03-20T14:00:00Z,2063-03-20T14:00:00Z,2063,2063-03-20,Day and night are approximately equal.
Summer Solstice,2063-06-21T07:00:00Z,2063-06-21T07:00:00Z,2063,2063-06-21,The longest day of the year.
Autumn Equinox,2063-09-22T23:00:00Z,2063-09-22T23:00:00Z,2063,2063-09-22,Day and night are approximately equal.
Winter Solstice,2063-12-21T20:00:00Z,2063-12-21T20:00:00Z,2063,2063-12-21,The longest night of the year.
Spring Equinox,2064-03-19T20:00:00Z,2064-03-19T20:00:00Z,2064,2064-03-19,Day and night are approximately equal.
Summer Solstice,2064-06-20T13:00:00Z,2064-06-20T13:00:00Z,2064,2064-06-20,The longest day of the year.
Autumn Equinox,2064-09-22T05:00:00Z,2064-09-22T05:00:00Z,2064,2064-09-21,Day and night are approximately equal.
Winter Solstice,2064-12-21T02:00:00Z,2064-12-21T02:00:00Z,2064,2064-12-20,The longest night of the year.
Spring Equinox,2065-03-20T01:00:00Z,2065-03-20T01:00:00Z,2065,2065-03-19,Day and night are approximately equal.
Summer Solstice,2065-06-20T19:00:00Z,2065-06-20T19:00:00Z,2065,2065-06-20,The longest day of the year.
Autumn Equinox,2065-09-22T11:00:00Z,2065-09-22T11:00:00Z,2065,2065-09-22,Day and night are approximately equal.
Winter Solstice,2065-12-21T08:00:00Z,2065-12-21T08:00:00Z,2065,2065-12-21,The longest night of the year.
Spring Equinox,2066-03-20T07:00:00Z,2066-03-20T07:00:00Z,2066,2066-03-20,Day and night are approximately equal.
Summer Solstice,2066-06-21T00:00:00Z,2066-06-21T00:00:00Z,2066,2066-06-20,The longest day of the year.
Autumn Equinox,2066-09-22T16:00:00Z,2066-09-22T16:00:00Z,2066,2066-09-22,Day and night are approximately equal.
Winter Solstice,2066-12-21T14:00:00Z,2066-12-21T14:00:00Z,2066,2066-12-21,The longest night of the year.
Spring Equinox,2067-03-20T13:00:00Z,2067-03-20T13:00:00Z,2067,2067-03-20,Day and night are approximately equal.
Summer Solstice,2067-06-21T06:00:00Z,2067-06-21T06:00:00Z,2067,2067-06-20,The longest day of the year.
Autumn Equinox,2067-09-22T22:00:00Z,2067-09-22T22:00:00Z,2067,2067-09-22,Day and night are approximately equal.
Winter Solstice,2067-12-21T20:00:00Z,2067-12-21T20:00:00Z,2067,2067-12-21,The longest night of the year.
Spring Equinox,2068-03-19T19:00:00Z,2068-03-19T19:00:00Z,2068,2068-03-19,Day and night are approximately equal.
Summer Solstice,2068-06-20T12:00:00Z,2068-06-20T12:00:00Z,2068,2068-06-20,The longest day of the year.
Autumn Equinox,2068-09-22T04:00:00Z,2068-09-22T04:00:00Z,2068,2068-09-21,Day and night are approximately equal.
Winter Solstice,2068-12-21T02:00:00Z,2068-12-21T02:00:00Z,2068,2068-12-20,The longest night of the year.
Spring Equinox,2069-03-20T01:00:00Z,2069-03-20T01:00:00Z,2069,2069-03-19,Day and night are approximately equal.
Summer Solstice,2069-06-20T18:00:00Z,2069-06-20T18:00:00Z,2069,2069-06-20,The longest day of the year.
Autumn Equinox,2069-09-22T10:00:00Z,2069-09-22T10:00:00Z,2069,2069-09-22,Day and night are approximately equal.
Winter Solstice,2069-12-21T07:00:00Z,2069-12-21T07:00:00Z,2069,2069-12-20,The longest night of the year.
Spring Equinox,2070-03-20T07:00:00Z,2070-03-20T07:00:00Z,2070,2070-03-20,Day and night are approximately equal.
Summer Solstice,2070-06-20T23:00:00Z,2070-06-20T23:00:00Z,2070,2070-06-20,The longest day of the year.
Autumn Equinox,2070-09-22T16:00:00Z,2070-09-22T16:00:00Z,2070,2070-09-22,Day and night are approximately equal.
Winter Solstice,2070-12-21T13:00:00Z,2070-12-21T13:00:00Z,2070,2070-12-21,The longest night of the year.
Spring Equinox,2071-03-20T13:00:00Z,2071-03-20T13:00:00Z,2071,2071-03-20,Day and night are approximately equal.
Summer Solstice,2071-06-21T05:00:00Z,2071-06-21T05:00:00Z,2071,2071-06-20,The longest day of the year.
Autumn Equinox,2071-09-22T22:00:00Z,2071-09-22T22:00:00Z,2071,2071-09-22,Day and night are approximately equal.
Winter Solstice,2071-12-21T19:00:00Z,2071-12-21T19:00:00Z,2071,2071-12-21,The longest night of the year.
Spring Equinox,2072-03-19T18:00:00Z,2072-03-19T18:00:00Z,2072,2072-03-19,Day and night are approximately equal.
Summer Solstice,2072-06-20T11:00:00Z,2072-06-20T11:00:00Z,2072,2072-06-20,The longest day of the year.
Autumn Equinox,2072-09-22T03:00:00Z,2072-09-22T03:00:00Z,2072,2072-09-21,Day and night are approximately equal.
Winter Solstice,2072-12-21T01:00:00Z,2072-12-21T01:00:00Z,2072,2072-12-20,The longest night of the year.
Spring Equinox,2073-03-20T00:00:00Z,2073-03-20T00:00:00Z,2073,2073-03-19,Day and night are approximately equal.
Summer Solstice,2073-06-20T17:00:00Z,2073-06-20T17:00:00Z,2073,2073-06-20,The longest day of the year.
Autumn Equinox,2073-09-22T09:00:00Z,2073-09-22T09:00:00Z,2073,2073-09-22,Day and night are approximately equal.
Winter Solstice,2073-12-21T07:00:00Z,2073-12-21T07:00:00Z,2073,2073-12-20,The longest night of the year.
Spring Equinox,2074-03-20T06:00:00Z,2074-03-20T06:00:00Z,2074,2074-03-19,Day and night are approximately equal.
Summer Solstice,2074-06-20T23:00:00Z,2074-06-20T23:00:00Z,2074,2074-06-20,The longest day of the year.
Autumn Equinox,2074-09-22T15:00:00Z,2074-09-22T15:00:00Z,2074,2074-09-22,Day and night are approximately equal.
Winter Solstice,2074-12-21T13:00:00Z,2074-12-21T13:00:00Z,2074,2074-12-21,The longest night of the year.
Spring Equinox,2075-03-20T12:00:00Z,2075-03-20T12:00:00Z,2075,2075-03-20,Day and night are approximately equal.
Summer Solstice,2075-06-21T05:00:00Z,2075-06-21T05:00:00Z,2075,2075-06-20,The longest day of the year.
Autumn Equinox,2075-09-22T21:00:00Z,2075-09-22T21:00:00Z,2075,2075-09-22,Day and night are approximately equal.
Winter Solstice,2075-12-21T18:00:00Z,2075-12-21T18:00:00Z,2075,2075-12-21,The longest night of the year.
Spring Equinox,2076-03-19T18:00:00Z,2076-03-19T18:00:00Z,2076,2076-03-19,Day and night are approximately equal.
Summer Solstice,2076-06-20T11:00:00Z,2076-06-20T11:00:00Z,2076,2076-06-20,The longest day of the year.
Autumn Equinox,2076-09-22T03:00:00Z,2076-09-22T03:00:00Z,2076,2076-09-21,Day and night are approximately equal.
Winter Solstice,2076-12-21T00:00:00Z,2076-12-21T00:00:00Z,2076,2076-12-20,The longest night of the year.
Spring Equinox,2077-03-19T23:00:00Z,2077-03-19T23:00:00Z,2077,2077-03-19,Day and night are approximately equal.
Summer Solstice,2077-06-20T16:00:00Z,2077-06-20T16:00:00Z,2077,2077-06-20,The longest day of the year.
Autumn Equinox,2077-09-22T09:00:00Z,2077-09-22T09:00:00Z,2077,2077-09-22,Day and night are approximately equal.
Winter Solstice,2077-12-21T06:00:00Z,2077-12-21T06:00:00Z,2077,2077-12-20,The longest night of the year.
Spring Equinox,2078-03-20T05:00:00Z,2078-03-20T05:00:00Z,2078,2078-03-19,Day and night are approximately equal.
Summer Solstice,2078-06-20T22:00:00Z,2078-06-20T22:00:00Z,2078,2078-06-20,The longest day of the year.
Autumn Equinox,2078-09-22T14:00:00Z,2078-09-22T14:00:00Z,2078,2078-09-22,Day and night are approximately equal.
Winter Solstice,2078-12-21T12:00:00Z,2078-12-21T12:00:00Z,2078,2078-12-21,The longest night of the year.
Spring Equinox,2079-03-20T11:00:00Z,2079-03-20T11:00:00Z,2079,2079-03-20,Day and night are approximately equal.
Summer Solstice,2079-06-21T04:00:00Z,2079-06-21T04:00:00Z,2079,2079-06-20,The longest day of the year.
Autumn Equinox,2079-09-22T20:00:00Z,2079-09-22T20:00:00Z,2079,2079-09-22,Day and night are approximately equal.
Winter Solstice,2079-12-21T18:00:00Z,2079-12-21T18:00:00Z,2079,2079-12-21,The longest night of the year.
Spring Equinox,2080-03-19T17:00:00Z,2080-03-19T17:00:00Z,2080,2080-03-19,Day and night are approximately equal.
Summer Solstice,2080-06-20T10:00:00Z,2080-06-20T10:00:00Z,2080,2080-06-20,The longest day of the year.
Autumn Equinox,2080-09-22T02:00:00Z,2080-09-22T02:00:00Z,2080,2080-09-21,Day and night are approximately equal.
Winter Solstice,2080-12-20T23:00:00Z,2080-12-20T23:00:00Z,2080,2080-12-20,The longest night of the year.
Spring Equinox,2081-03-19T23:00:00Z,2081-03-19T23:00:00Z,2081,2081-03-19,Day and night are approximately equal.
Summer Solstice,2081-06-20T15:00:00Z,2081-06-20T15:00:00Z,2081,2081-06-20,The longest day of the year.
Autumn Equinox,2081-09-22T08:00:00Z,2081-09-22T08:00:00Z,2081,2081-09-22,Day and night are approximately equal.
Winter Solstice,2081-12-21T05:00:00Z,2081-12-21T05:00:00Z,2081,2081-12-20,The longest night of the year.
Spring Equinox,2082-03-20T05:00:00Z,2082-03-20T05:00:00Z,2082,2082-03-19,Day and night are approximately equal.
Summer Solstice,2082-06-20T21:00:00Z,2082-06-20T21:00:00Z,2082,2082-06-20,The longest day of the year.
Autumn Equinox,2082-09-22T13:00:00Z,2082-09-22T13:00:00Z,2082,2082-09-22,Day and night are approximately equal.
Winter Solstice,2082-12-21T11:00:00Z,2082-12-21T11:00:00Z,2082,2082-12-21,The longest night of the year.
Spring Equinox,2083-03-20T10:00:00Z,2083-03-20T10:00:00Z,2083,2083-03-20,Day and night are approximately equal.
Summer Solstice,2083-06-21T03:00:00Z,2083-06-21T03:00:00Z,2083,2083-06-20,The longest day of the year.
Autumn Equinox,2083-09-22T19:00:00Z,2083-09-22T19:00:00Z,2083,2083-09-22,Day and night are approximately equal.
Winter Solstice,2083-12-21T17:00:00Z,2083-12-21T17:00:00Z,2083,2083-12-21,The longest night of the year.
Spring Equinox,2084-03-19T16:00:00Z,2084-03-19T16:00:00Z,2084,2084-03-19,Day and night are approximately equal.
Summer Solstice,2084-06-20T09:00:00Z,2084-06-20T09:00:00Z,2084,2084-06-20,The longest day of the year.
Autumn Equinox,2084-09-22T01:00:00Z,2084-09-22T01:00:00Z,2084,2084-09-21,Day and night are approximately equal.
Winter Solstice,2084-12-20T23:00:00Z,2084-12-20T23:00:00Z,2084,2084-12-20,The longest night of the year.
Spring Equinox,2085-03-19T22:00:00Z,2085-03-19T22:00:00Z,2085,2085-03-19,Day and night are approximately equal.
Summer Solstice,2085-06-20T15:00:00Z,2085-06-20T15:00:00Z,2085,2085-06-20,The longest day of the year.
Autumn Equinox,2085-09-22T07:00:00Z,2085-09-22T07:00:00Z,2085,2085-09-22,Day and night are approximately equal.
Winter Solstice,2085-12-21T04:00:00Z,2085-12-21T04:00:00Z,2085,2085-12-20,The longest night of the year.
Spring Equinox,2086-03-20T04:00:00Z,2086-03-20T04:00:00Z,2086,2086-03-19,Day and night are approximately equal.
Summer Solstice,2086-06-20T20:00:00Z,2086-06-20T20:00:00Z,2086,2086-06-20,The longest day of the year.
Autumn Equinox,2086-09-22T13:00:00Z,2086-09-22T13:00:00Z,2086,2086-09-22,Day and night are approximately equal.
Winter Solstice,2086-12-21T10:00:00Z,2086-12-21T10:00:00Z,2086,2086-12-21,The longest night of the year.
Spring Equinox,2087-03-20T09:00:00Z,2087-03-20T09:00:00Z,2087,2087-03-20,Day and night are approximately equal.
Summer Solstice,2087-06-21T02:00:00Z,2087-06-21T02:00:00Z,2087,2087-06-20,The longest day of the year.
Autumn Equinox,2087-09-22T18:00:00Z,2087-09-22T18:00:00Z,2087,2087-09-22,Day and night are approximately equal.
Winter Solstice,2087-12-21T16:00:00Z,2087-12-21T16:00:00Z,2087,2087-12-21,The longest night of the year.
Spring Equinox,2088-03-19T15:00:00Z,2088-03-19T15:00:00Z,2088,2088-03-19,Day and night are approximately equal.
Summer Solstice,2088-06-20T08:00:00Z,2088-06-20T08:00:00Z,2088,2088-06-20,The longest day of the year.
Autumn Equinox,2088-09-22T00:00:00Z,2088-09-22T00:00:00Z,2088,2088-09-21,Day and night are approximately equal.
Winter Solstice,2088-12-20T22:00:00Z,2088-12-20T22:00:00Z,2088,2088-12-20,The longest night of the year.
Spring Equinox,2089-03-19T21:00:00Z,2089-03-19T21:00:00Z,2089,2089-03-19,Day and night are approximately equal.
Summer Solstice,2089-06-20T14:00:00Z,2089-06-20T14:00:00Z,2089,2089-06-20,The longest day of the year.
Autumn Equinox,2089-09-22T06:00:00Z,2089-09-22T06:00:00Z,2089,2089-09-21,Day and night are approximately equal.
Winter Solstice,2089-12-21T04:00:00Z,2089-12-21T04:00:00Z,2089,2089-12-20,The longest night of the year.
Spring Equinox,2090-03-20T03:00:00Z,2090-03-20T03:00:00Z,2090,2090-03-19,Day and night are approximately equal.
Summer Solstice,2090-06-20T20:00:00Z,2090-06-20T20:00:00Z,2090,2090-06-20,The longest day of the year.
Autumn Equinox,2090-09-22T12:00:00Z,2090-09-22T12:00:00Z,2090,2090-09-22,Day and night are approximately equal.
Winter Solstice,2090-12-21T10:00:00Z,2090-12-21T10:00:00Z,2090,2090-12-21,The longest night of the year.
Spring Equinox,2091-03-20T09:00:00Z,2091-03-20T09:00:00Z,2091,2091-03-20,Day and night are approximately equal.
Summer Solstice,2091-06-21T01:00:00Z,2091-06-21T01:00:00Z,2091,2091-06-20,The longest day of the year.
Autumn Equinox,2091-09-22T18:00:00Z,2091-09-22T18:00:00Z,2091,2091-09-22,Day and night are approximately equal.
Winter Solstice,2091-12-21T16:00:00Z,2091-12-21T16:00:00Z,2091,2091-12-21,The longest night of the year.
Spring Equinox,2092-03-19T15:00:00Z,2092-03-19T15:00:00Z,2092,2092-03-19,Day and night are approximately equal.
Summer Solstice,2092-06-20T07:00:00Z,2092-06-20T07:00:00Z,2092,2092-06-20,The longest day of the year.
Autumn Equinox,2092-09-21T23:00:00Z,2092-09-21T23:00:00Z,2092,2092-09-21,Day and night are approximately equal.
Winter Solstice,2092-12-20T22:00:00Z,2092-12-20T22:00:00Z,2092,2092-12-20,The longest night of the year.
Spring Equinox,2093-03-19T21:00:00Z,2093-03-19T21:00:00Z,2093,2093-03-19,Day and night are approximately equal.
Summer Solstice,2093-06-20T13:00:00Z,2093-06-20T13:00:00Z,2093,2093-06-20,The longest day of the year.
Autumn Equinox,2093-09-22T06:00:00Z,2093-09-22T06:00:00Z,2093,2093-09-21,Day and night are approximately equal.
Winter Solstice,2093-12-21T03:00:00Z,2093-12-21T03:00:00Z,2093,2093-12-20,The longest night of the year.
Spring Equinox,2094-03-20T02:00:00Z,2094-03-20T02:00:00Z,2094,2094-03-19,Day and night are approximately equal.
Summer Solstice,2094-06-20T19:00:00Z,2094-06-20T19:00:00Z,2094,2094-06-20,The longest day of the year.
Autumn Equinox,2094-09-22T11:00:00Z,2094-09-22T11:00:00Z,2094,2094-09-22,Day and night are approximately equal.
Winter Solstice,2094-12-21T09:00:00Z,2094-12-21T09:00:00Z,2094,2094-12-21,The longest night of the year.
Spring Equinox,2095-03-20T08:00:00Z,2095-03-20T08:00:00Z,2095,2095-03-20,Day and night are approximately equal.
Summer Solstice,2095-06-21T01:00:00Z,2095-06-21T01:00:00Z,2095,2095-06-20,The longest day of the year.
Autumn Equinox,2095-09-22T17:00:00Z,2095-09-22T17:00:00Z,2095,2095-09-22,Day and night are approximately equal.
Winter Solstice,2095-12-21T15:00:00Z,2095-12-21T15:00:00Z,2095,2095-12-21,The longest night of the year.
Spring Equinox,2096-03-19T14:00:00Z,2096-03-19T14:00:00Z,2096,2096-03-19,Day and night are approximately equal.
Summer Solstice,2096-06-20T07:00:00Z,2096-06-20T07:00:00Z,2096,2096-06-20,The longest day of the year.
Autumn Equinox,2096-09-21T23:00:00Z,2096-09-21T23:00:00Z,2096,2096-09-21,Day and night are approximately equal.
Winter Solstice,2096-12-20T21:00:00Z,2096-12-20T21:00:00Z,2096,2096-12-20,The longest night of the year.
Spring Equinox,2097-03-19T20:00:00Z,2097-03-19T20:00:00Z,2097,2097-03-19,Day and night are approximately equal.
Summer Solstice,2097-06-20T12:00:00Z,2097-06-20T12:00:00Z,2097,2097-06-20,The longest day of the year.
Autumn Equinox,2097-09-22T05:00:00Z,2097-09-22T05:00:00Z,2097,2097-09-21,Day and night are approximately equal.
Winter Solstice,2097-12-21T03:00:00Z,2097-12-21T03:00:00Z,2097,2097-12-20,The longest night of the year.
Spring Equinox,2098-03-20T02:00:00Z,2098-03-20T02:00:00Z,2098,2098-03-19,Day and night are approximately equal.
Summer Solstice,2098-06-20T18:00:00Z,2098-06-20T18:00:00Z,2098,2098-06-20,The longest day of the year.
Autumn Equinox,2098-09-22T10:00:00Z,2098-09-22T10:00:00Z,2098,2098-09-22,Day and night are approximately equal.
Winter Solstice,2098-12-21T08:00:00Z,2098-12-21T08:00:00Z,2098,2098-12-21,The longest night of the year.
Spring Equinox,2099-03-20T07:00:00Z,2099-03-20T07:00:00Z,2099,2099-03-20,Day and night are approximately equal.
Summer Solstice,2099-06-20T23:00:00Z,2099-06-20T23:00:00Z,2099,2099-06-20,The longest day of the year.
Autumn Equinox,2099-09-22T16:00:00Z,2099-09-22T16:00:00Z,2099,2099-09-22,Day and night are approximately equal.
Winter Solstice,2099-12-21T14:00:00Z,2099-12-21T14:00:00Z,2099,2099-12-21,The longest night of the year.
Spring Equinox,2100-03-20T13:00:00Z,2100-03-20T13:00:00Z,2100,2100-03-20,Day and night are approximately equal.
Summer Solstice,2100-06-21T06:00:00Z,2100-06-21T06:00:00Z,2100,2100-06-20,The longest day of the year.
Autumn Equinox,2100-09-22T22:00:00Z,2100-09-22T22:00:00Z,2100,2100-09-22,Day and night are approximately equal.
Winter Solstice,2100-12-21T20:00:00Z,2100-12-21T20:00:00Z,2100,2100-12-21,The longest night of the year.
