"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"45",2003,"Perseids",2003-07-17,2003-08-12,2003-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"46",2003,"Quadrantids",2003-01-01,2003-01-03,2003-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"47",2003,"Southern Taurids",2003-09-23,2003-10-10,2003-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"48",2003,"Ursids",2003-12-17,2003-12-22,2003-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"49",2004,"Delta Aquariids",2004-07-12,2004-07-30,2004-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"50",2004,"Draconids",2004-10-06,2004-10-08,2004-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"51",2004,"Eta Aquariids",2004-04-19,2004-05-06,2004-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"52",2004,"Geminids",2004-12-04,2004-12-14,2004-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"53",2004,"Leonids",2004-11-06,2004-11-17,2004-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"54",2004,"Lyrids",2004-04-15,2004-04-22,2004-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"55",2004,"Northern Taurids",2004-10-13,2004-11-12,2004-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"56",2004,"Orionids",2004-10-02,2004-10-22,2004-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"57",2004,"Perseids",2004-07-17,2004-08-12,2004-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"58",2004,"Quadrantids",2004-01-01,2004-01-03,2004-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"59",2004,"Southern Taurids",2004-09-23,2004-10-10,2004-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"60",2004,"Ursids",2004-12-17,2004-12-22,2004-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"61",2005,"Delta Aquariids",2005-07-12,2005-07-30,2005-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
