catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09718,2094-01-16,10:59:03,189,1163,152,T,p-,-0.9333,1.0342,-85,-11,21,329,111,Total,The Moon completely covers the Sun.,14255.912267280813,Not Visible in California,1m 51s
09719,2094-06-12,17:22:11,190,1168,119,P,-t,-1.4613,0.1618,-65,-164,0,NA,NA,Partial,The Moon partially covers the Sun.,11958.96195879392,Not Visible in California,NA
09720,2094-07-12,06:24:35,190,1169,157,P,t-,1.315,0.4224,68,153,0,NA,NA,Partial,The Moon partially covers the Sun.,6160.676912678811,Partially Visible in California,NA
09721,2094-12-07,12:05:56,191,1174,124,P,-t,1.1547,0.7046,65,-95,0,NA,NA,Partial,The Moon partially covers the Sun.,3524.4418929037165,Partially Visible in California,NA
09722,2095-06-02,03:07:40,192,1180,129,T,-p,-0.6396,1.0332,-17,37,50,145,198,Total,The Moon completely covers the Sun.,16822.410071237195,Not Visible in California,3m 18s
09723,2095-11-26,17:02:57,193,1186,134,A,-p,0.4903,0.933,7,170,61,285,527,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",7815.861408664408,Not Visible in California,8m 47s
09724,2096-05-21,18:37:14,194,1192,139,T,nn,0.1196,1.0737,27,153,83,241,366,Total,The Moon completely covers the Sun.,8053.512662825666,Not Visible in California,6m 6s
09725,2096-11-14,16:36:15,195,1198,144,A,nn,-0.2018,0.9237,-30,163,78,294,533,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",10968.08534544385,Not Visible in California,8m 53s
09726,2097-05-11,11:34:31,196,1204,149,T,p-,0.8516,1.0538,67,-150,31,339,190,Total,The Moon completely covers the Sun.,3876.246237213132,Partially Visible in California,3m 10s
09727,2097-11-03,18:01:25,197,1210,154,A,t-,-0.8926,0.9494,-66,87,26,411,216,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",16346.19802029782,Not Visible in California,3m 36s
09728,2098-04-01,13:02:31,198,1215,121,P,-t,-1.1005,0.7984,-61,-38,0,NA,NA,Partial,The Moon partially covers the Sun.,13093.862009882661,Not Visible in California,NA
09729,2098-09-24,17:31:16,199,1221,126,P,-t,1.1184,0.7871,61,-101,0,NA,NA,Partial,The Moon partially covers the Sun.,2987.242154835881,Partially Visible in California,NA
09730,2098-10-24,03:36:11,200,1222,164,Pb,t-,-1.5407,0.0056,-62,-95,0,NA,NA,Partial,The Moon partially covers the Sun.,11201.082377534596,Not Visible in California,NA
09731,2099-03-21,15:54:32,201,1227,131,A,-p,-0.4016,0.9318,-20,-149,66,275,452,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",7035.4151615714745,Not Visible in California,7m 32s
09732,2099-09-14,09:57:53,202,1233,136,T,-n,0.3942,1.0684,23,-63,67,241,318,Total,The Moon completely covers the Sun.,5568.3330486612285,Not Visible in California,5m 18s
09733,2100-03-10,14:28:11,203,1239,141,A,n-,0.3077,0.9338,12,-162,72,257,449,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",5055.468899270627,Not Visible in California,7m 29s
09734,2100-09-04,01:49:20,204,1245,146,T,n-,-0.3384,1.0402,-10,39,70,142,212,Total,The Moon completely covers the Sun.,16331.466314484207,Not Visible in California,3m 32s
