catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09608,2045-08-12,10:42:39,89,564,136,T,-n,0.2116,1.0774,26,-79,78,256,366,Total,The Moon completely covers the Sun.,3986.429584098977,Partially Visible in California,6m 6s
09609,2046-02-05,15:06:26,90,570,141,A,p-,0.3765,0.9232,5,-171,68,310,582,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",6312.565093388784,Not Visible in California,9m 42s
09610,2046-08-02,03:21:13,90,576,146,T,p-,-0.535,1.0531,-13,15,58,206,291,Total,The Moon completely covers the Sun.,14779.320099198621,Not Visible in California,4m 51s
09611,2047-01-25,17:33:18,90,582,151,P,t-,1.045,0.8907,63,112,0,NA,NA,Partial,The Moon partially covers the Sun.,8021.598307507522,Not Visible in California,NA
09612,2047-06-23,03:52:31,91,587,118,P,-t,1.3766,0.3129,66,-178,0,NA,NA,Partial,The Moon partially covers the Sun.,4916.01755534142,Partially Visible in California,NA
09613,2047-07-22,15:36:17,91,588,156,P,t-,-1.3477,0.3604,-63,160,0,NA,NA,Partial,The Moon partially covers the Sun.,13153.44528173285,Not Visible in California,NA
09614,2047-12-16,15:50:12,91,593,123,P,-t,-1.0661,0.8816,-66,-7,0,NA,NA,Partial,The Moon partially covers the Sun.,14695.468127172868,Not Visible in California,NA
09615,2048-06-11,05:58:53,92,599,128,A,-p,0.6468,0.9441,64,-12,49,272,298,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",7154.328508990168,Not Visible in California,4m 58s
09616,2048-12-05,07:35:27,92,605,133,T,-n,-0.3973,1.044,-46,-56,66,160,208,Total,The Moon completely covers the Sun.,11171.679059806394,Not Visible in California,3m 28s
09617,2049-05-31,06:59:59,92,611,138,A,nn,-0.1187,0.9631,15,-30,83,134,285,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",8965.577095731202,Not Visible in California,4m 45s
09618,2049-11-24,21:33:48,93,617,143,H,n-,0.2943,1.0057,-4,95,73,21,38,Hybrid,A rare eclipse that appears total in some locations and annular in others.,14955.591051599913,Not Visible in California,0m 38s
09619,2050-05-20,13:42:50,94,623,148,H,t-,-0.8688,1.0038,-40,-124,29,27,21,Hybrid,A rare eclipse that appears total in some locations and annular in others.,8550.188386549145,Not Visible in California,0m 21s
09620,2050-11-14,05:30:53,95,629,153,P,t-,1.0447,0.8874,70,1,0,NA,NA,Partial,The Moon partially covers the Sun.,7218.55584104647,Not Visible in California,NA
09621,2051-04-10,19:10:39,95,634,120,P,-t,1.0169,0.9849,72,32,0,NA,NA,Partial,The Moon partially covers the Sun.,7715.370004280809,Not Visible in California,NA
09622,2051-10-04,14:02:14,96,640,125,P,-t,-1.2094,0.6024,-72,118,0,NA,NA,Partial,The Moon partially covers the Sun.,14971.756844927735,Not Visible in California,NA
09623,2052-03-30,11:31:53,97,646,130,T,-n,0.3238,1.0466,22,-103,71,164,248,Total,The Moon completely covers the Sun.,2280.0880903830907,Partially Visible in California,4m 8s
09624,2052-09-22,16:39:10,98,652,135,A,-p,-0.448,0.9734,-26,175,63,106,171,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",9783.648946521083,Not Visible in California,2m 51s
09625,2053-03-20,00:08:19,99,658,140,A,n-,-0.4089,0.9919,-23,83,66,31,50,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",17377.279712363004,Not Visible in California,0m 50s
